iter	Passed	Remaining
0	196	4914502
1	356	4455342
2	513	4279767
3	820	5129612
4	1103	5514141
5	1349	5621087
6	1567	5598011
7	1746	5456119
8	1909	5303570
9	2064	5158963
10	2212	5025252
11	2377	4950663
12	2567	4934832
13	2707	4832449
14	2866	4774412
15	3020	4717278
16	3169	4657998
17	3341	4638201
18	3537	4651532
19	3689	4608542
20	3847	4576607
21	3994	4534926
22	4138	4493730
23	4301	4476466
24	4495	4491349
25	4644	4461216
26	4795	4435573
27	4950	4414695
28	5102	4393938
29	5241	4363033
30	5441	4383065
31	5590	4362278
32	5740	4343208
33	5891	4326414
34	6039	4308095
35	6187	4290754
36	6370	4297911
37	6530	4289829
38	6681	4276318
39	6825	4259384
40	6967	4241312
41	7114	4227446
42	7284	4227736
43	7423	4210434
44	7581	4204558
45	7720	4188433
46	7862	4174557
47	8010	4164151
48	8193	4171951
49	8343	4163240
50	8493	4154787
51	8657	4153463
52	8808	4146023
53	8958	4138369
54	9144	4147223
55	9289	4138003
56	9433	4128087
57	9574	4117174
58	9730	4113435
59	9881	4107590
60	10059	4112803
61	10208	4106312
62	10349	4096465
63	10493	4088467
64	10640	4081679
65	10804	4081838
66	10977	4085271
67	11119	4076947
68	11265	4070335
69	11402	4061021
70	11549	4055170
71	11704	4052375
72	11898	4062892
73	12045	4057412
74	12187	4050451
75	12331	4044118
76	12481	4039973
77	12632	4036285
78	12833	4048250
79	12983	4044397
80	13128	4038803
81	13272	4033211
82	13416	4027701
83	13564	4023537
84	13745	4028935
85	13906	4028566
86	14052	4024065
87	14194	4018246
88	14347	4015960
89	14493	4011577
90	14674	4016878
91	14827	4014452
92	14983	4012823
93	15127	4008053
94	15267	4002575
95	15416	3999289
96	15598	4004735
97	15746	4001172
98	15898	3998799
99	16058	3998492
100	16206	3995416
101	16352	3991578
102	16534	3996684
103	16682	3993512
104	16832	3990995
105	16993	3990937
106	17145	3988843
107	17290	3985055
108	17475	3990759
109	17626	3988424
110	17768	3984079
111	17926	3983594
112	18089	3983970
113	18234	3980601
114	18419	3985878
115	18568	3983339
116	18717	3980721
117	18865	3978049
118	19011	3974905
119	19174	3975470
120	19367	3982219
121	19515	3979623
122	19661	3976555
123	19810	3974294
124	19960	3972091
125	20109	3969878
126	20311	3977943
127	20461	3975838
128	20601	3971887
129	20747	3969179
130	20907	3969064
131	21055	3966706
132	21256	3974244
133	21404	3971995
134	21553	3969743
135	21690	3965551
136	21842	3964020
137	21992	3962217
138	22177	3966520
139	22335	3966211
140	22487	3964637
141	22635	3962415
142	22782	3960102
143	22935	3958874
144	23113	3962010
145	23263	3960224
146	23422	3959923
147	23569	3957839
148	23719	3956068
149	23871	3954712
150	24063	3959890
151	24214	3958467
152	24360	3956121
153	24507	3954027
154	24652	3951481
155	24792	3948429
156	24973	3951651
157	25120	3949658
158	25279	3949492
159	25421	3946738
160	25573	3945452
161	25719	3943357
162	25901	3946732
163	26048	3944688
164	26202	3943841
165	26354	3942742
166	26502	3941000
167	26646	3938658
168	26824	3941257
169	26999	3943554
170	27170	3945129
171	27352	3948267
172	27517	3949045
173	27674	3948543
174	27876	3954550
175	28034	3954144
176	28175	3951346
177	28325	3949949
178	28474	3948360
179	28621	3946616
180	28799	3949051
181	28943	3946784
182	29088	3944817
183	29233	3942693
184	29389	3942227
185	29553	3942630
186	29728	3944710
187	29874	3942754
188	30016	3940408
189	30157	3937876
190	30305	3936319
191	30467	3936637
192	30652	3939839
193	30799	3938181
194	30946	3936603
195	31094	3935087
196	31238	3932978
197	31387	3931738
198	31590	3937090
199	31743	3936134
200	31887	3934270
201	32030	3932112
202	32184	3931424
203	32328	3929441
204	32514	3932653
205	32696	3935302
206	32857	3935403
207	33011	3934750
208	33159	3933336
209	33312	3932427
210	33498	3935478
211	33654	3935044
212	33810	3934585
213	33959	3933268
214	34105	3931700
215	34253	3930220
216	34435	3932791
217	34580	3931055
218	34740	3931113
219	34890	3929959
220	35040	3928828
221	35185	3927122
222	35363	3929171
223	35516	3928358
224	35662	3926794
225	35822	3926815
226	35967	3925157
227	36115	3923891
228	36299	3926494
229	36446	3925084
230	36596	3924036
231	36738	3922165
232	36893	3921638
233	37037	3919988
234	37216	3922002
235	37363	3920625
236	37514	3919723
237	37660	3918232
238	37803	3916565
239	37977	3917962
240	38158	3920209
241	38305	3918863
242	38451	3917442
243	38604	3916798
244	38748	3915150
245	38913	3915663
246	39091	3917516
247	39227	3915113
248	39370	3913462
249	39517	3912225
250	39654	3910003
251	39801	3908766
252	40003	3912939
253	40151	3911768
254	40294	3910191
255	40438	3908610
256	40585	3907435
257	40739	3906862
258	40916	3908527
259	41081	3909109
260	41230	3908031
261	41372	3906419
262	41518	3905131
263	41663	3903699
264	41840	3905395
265	41977	3903317
266	42130	3902671
267	42272	3901034
268	42421	3900104
269	42569	3899005
270	42746	3900642
271	42892	3899415
272	43041	3898508
273	43195	3898010
274	43338	3896501
275	43483	3895250
276	43662	3897013
277	43803	3895350
278	43946	3893918
279	44091	3892680
280	44257	3893273
281	44405	3892236
282	44586	3894180
283	44728	3892599
284	44868	3890927
285	45009	3889397
286	45155	3888260
287	45320	3888719
288	45500	3890497
289	45642	3889047
290	45785	3887691
291	45932	3886631
292	46075	3885318
293	46218	3883920
294	46414	3887006
295	46559	3885806
296	46707	3884913
297	46846	3883231
298	46995	3882393
299	47148	3881865
300	47342	3884791
301	47515	3885862
302	47666	3885231
303	47812	3884124
304	47958	3883048
305	48102	3881854
306	48282	3883524
307	48450	3884191
308	48603	3883725
309	48747	3882492
310	48893	3881441
311	49038	3880339
312	49221	3882171
313	49377	3881925
314	49544	3882585
315	49691	3881563
316	49835	3880443
317	49986	3879761
318	50159	3880797
319	50303	3879642
320	50447	3878473
321	50604	3878337
322	50747	3877084
323	50894	3876170
324	51072	3877576
325	51225	3877094
326	51379	3876705
327	51554	3877890
328	51709	3877576
329	51856	3876656
330	52031	3877819
331	52170	3876307
332	52317	3875402
333	52461	3874270
334	52616	3874023
335	52767	3873354
336	52944	3874715
337	53095	3874093
338	53240	3873066
339	53387	3872163
340	53535	3871333
341	53677	3870134
342	53852	3871275
343	54000	3870443
344	54139	3868989
345	54283	3867902
346	54448	3868360
347	54596	3867540
348	54779	3869219
349	54923	3868181
350	55069	3867275
351	55212	3866162
352	55371	3866145
353	55527	3865904
354	55708	3867456
355	55856	3866646
356	56002	3865722
357	56191	3867784
358	56346	3867522
359	56551	3870660
360	56747	3873133
361	56903	3872874
362	57072	3873510
363	57238	3873955
364	57504	3881172
365	57728	3885474
366	57925	3887960
367	58094	3888549
368	58250	3888236
369	58392	3887072
370	58544	3886531
371	58713	3887092
372	58892	3888309
373	59049	3888131
374	59192	3886976
375	59336	3885892
376	59481	3884885
377	59634	3884430
378	59831	3886830
379	59977	3885929
380	60132	3885569
381	60275	3884486
382	60424	3883734
383	60573	3882994
384	60767	3885194
385	60910	3884062
386	61055	3883101
387	61195	3881825
388	61339	3880798
389	61488	3880065
390	61669	3881385
391	61830	3881417
392	61978	3880683
393	62139	3880714
394	62283	3879715
395	62427	3878713
396	62607	3879911
397	62751	3878949
398	62904	3878505
399	63052	3877751
400	63198	3876832
401	63343	3875920
402	63546	3878547
403	63702	3878268
404	63855	3877857
405	64002	3877052
406	64147	3876087
407	64307	3876112
408	64492	3877609
409	64651	3877484
410	64809	3877377
411	64958	3876687
412	65107	3876025
413	65255	3875318
414	65440	3876732
415	65598	3876594
416	65781	3877937
417	65938	3877778
418	66087	3877067
419	66244	3876909
420	66428	3878256
421	66575	3877484
422	66729	3877093
423	66895	3877397
424	67064	3877912
425	67264	3880181
426	67456	3881992
427	67609	3881564
428	67771	3881612
429	67931	3881557
430	68081	3880963
431	68238	3880756
432	68428	3882432
433	68582	3882019
434	68745	3882123
435	68898	3881719
436	69054	3881415
437	69201	3880644
438	69383	3881832
439	69529	3881008
440	69683	3880642
441	69837	3880263
442	69984	3879502
443	70139	3879129
444	70319	3880240
445	70461	3879157
446	70607	3878351
447	70762	3878031
448	70903	3876978
449	71067	3877113
450	71251	3878393
451	71397	3877598
452	71546	3876937
453	71688	3875905
454	71838	3875336
455	71986	3874618
456	72180	3876441
457	72326	3875647
458	72473	3874866
459	72617	3874007
460	72769	3873524
461	72913	3872648
462	73094	3873672
463	73261	3874029
464	73411	3873448
465	73560	3872809
466	73705	3871965
467	73853	3871326
468	74033	3872297
469	74173	3871212
470	74333	3871166
471	74477	3870301
472	74625	3869656
473	74783	3869469
474	74957	3870161
475	75097	3869073
476	75238	3868067
477	75394	3867807
478	75531	3866634
479	75677	3865870
480	75862	3867116
481	76009	3866382
482	76154	3865570
483	76297	3864705
484	76462	3864880
485	76612	3864383
486	76814	3866415
487	76976	3866514
488	77126	3865952
489	77273	3865258
490	77438	3865472
491	77598	3865399
492	77790	3866967
493	77940	3866429
494	78103	3866503
495	78254	3866008
496	78399	3865246
497	78561	3865289
498	78766	3867466
499	78920	3867105
500	79076	3866841
501	79226	3866318
502	79373	3865620
503	79543	3866077
504	79754	3868471
505	79950	3870181
506	80134	3871292
507	80395	3876078
508	80556	3876036
509	80810	3880497
510	80989	3881302
511	81143	3880932
512	81297	3880576
513	81462	3880739
514	81615	3880278
515	81790	3880937
516	81973	3881922
517	82125	3881469
518	82278	3881019
519	82425	3880318
520	82577	3879869
521	82740	3879936
522	82931	3881298
523	83081	3880748
524	83229	3880063
525	83376	3879407
526	83521	3878577
527	83674	3878208
528	83894	3880858
529	84038	3880063
530	84186	3879393
